Type,Name,Status,Category,Priority,Errors,Warnings
System,unified-initialization,passed,core,,0,0
System,notification-system,passed,core,,0,0
System,modal-manager-v2,passed,core,,0,0
System,modal-navigation-manager,passed,core,,0,0
System,modal-z-index-manager,passed,core,,0,0
System,ui-utils,passed,core,,0,0
System,page-utils,passed,core,,0,0
System,translation-utils,passed,core,,0,0
System,event-handler-manager,passed,core,,0,0
System,logger-service,passed,core,,0,0
System,conditions-system,passed,core,,0,0
System,trades-data,passed,crud,,0,0
System,executions-data,passed,crud,,0,0
System,cash-flows-data,passed,crud,,0,0
System,notes-data,passed,crud,,0,0
System,trading-accounts-data,passed,crud,,0,0
System,alerts-data,passed,crud,,0,0
System,tickers-data,passed,crud,,0,0
System,data-collection-service,passed,crud,,0,0
System,investment-calculation-service,passed,crud,,0,0
System,crud-response-handler,passed,crud,,0,0
System,select-populator-service,passed,crud,,0,0
System,default-value-setter,passed,crud,,0,0
System,field-renderer-service,passed,crud,,0,0
System,table-sort-value-adapter,passed,crud,,0,0
System,linked-items-service,passed,crud,,0,0
System,icon-system,passed,ui,,0,0
System,header-system,passed,ui,,0,0
System,color-scheme-system,passed,ui,,0,0
System,button-system,passed,ui,,0,0
System,info-summary-system,passed,ui,,0,0
System,pagination-system,passed,ui,,0,0
System,entity-details-modal,passed,ui,,0,0
System,autocomplete-service,passed,ui,,0,0
System,unified-ui-positioning-service,passed,ui,,0,0
System,widget-overlay-service,passed,ui,,0,0
System,unified-cache-manager,passed,cache,,0,0
System,cache-sync-manager,passed,cache,,0,0
System,cache-policy-manager,passed,cache,,0,0
System,cache-ttl-guard,passed,cache,,0,0
Page,/,passed,main,high,0,0
Page,/trades.html,passed,main,high,0,0
Page,/trade_plans.html,passed,main,high,0,0
Page,/alerts.html,passed,main,high,0,0
Page,/tickers.html,passed,main,high,0,0
Page,/trading_accounts.html,passed,main,high,0,0
Page,/executions.html,passed,main,high,0,0
Page,/cash_flows.html,passed,main,high,0,0
Page,/notes.html,passed,main,high,0,0
Page,/preferences.html,passed,main,high,0,0
Page,/watch-list.html,passed,watchlists,high,0,0
Page,/mockups/daily-snapshots/trade-history-page.html,passed,main,high,0,0
Page,/mockups/daily-snapshots/portfolio-state-page.html,passed,main,high,0,0
Page,/mockups/daily-snapshots/trading-journal-page.html,passed,main,high,0,0
Page,/ticker-dashboard.html,passed,main,medium,0,0
Page,/data_import.html,passed,main,medium,0,0
Page,/research.html,passed,main,medium,0,0
Page,/ai-analysis.html,passed,main,medium,0,0
Page,/user-profile.html,passed,main,medium,0,0
Page,/register.html,passed,auth,medium,0,0
Page,/forgot-password.html,passed,auth,medium,0,0
Page,/reset-password.html,passed,auth,medium,0,0
Page,/db_display.html,passed,technical,low,0,0
Page,/db_extradata.html,passed,technical,low,0,0
Page,/constraints.html,passed,technical,low,0,0
Page,/background-tasks.html,passed,technical,low,0,0
Page,/server-monitor.html,passed,technical,low,0,0
Page,/system-management.html,passed,technical,low,0,0
Page,/notifications-center.html,passed,technical,low,0,0
Page,/css-management.html,passed,technical,low,0,0
Page,/dynamic-colors-display.html,passed,technical,low,0,0
Page,/designs.html,passed,technical,low,0,0
Page,/external-data-dashboard.html,passed,secondary,low,0,0
Page,/crud-testing-dashboard.html,passed,secondary,low,0,0
